model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,weight_kg,power_kw,cyl_factor,am_label,vs_label,speed_category,predicted,residuals,std_resid,is_outlier,hat_value,cooks_d
Cadillac Fleetwood,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,2381.4,152.93,8-cyl,Automatic,V-shaped,Medium,9.226650410547983,1.17334958945202,0.42296070859836843,FALSE,0.17047664670692977,0.01838257435873775
Lincoln Continental,10.4,8,460,215,3,5.424,17.82,0,0,3,4,2460.3264000000004,160.39,8-cyl,Automatic,V-shaped,Medium,8.296712356894236,2.103287643105767,0.7697987253793518,FALSE,0.1953319067738302,0.07192515197659301
Chrysler Imperial,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,2424.492,171.58,8-cyl,Automatic,V-shaped,Medium,8.71892561113933,5.981074388860672,2.1735331395880637,FALSE,0.18379417276968682,0.5319056255997685
Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,997.9200000000002,49.236,4-cyl,Manual,Straight,Slow,25.52728870735214,6.872711292647859,2.3349021474463134,FALSE,0.0661166177730947,0.19298580016831246
Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,732.5640000000001,38.792,4-cyl,Manual,Straight,Slow,28.653804577394908,1.7461954226050924,0.6103569085768965,FALSE,0.11774977628773285,0.024860281800609084
Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,832.356,48.49,4-cyl,Manual,Straight,Slow,27.47802083139592,6.421979168604081,2.21708271178884,FALSE,0.09562653847460137,0.2598749512685017
Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,1118.124,72.362,4-cyl,Automatic,Straight,Slow,24.111003740580635,-2.611003740580632,-0.879640130346488,FALSE,0.050316844143829774,0.020498153079777533
Dodge Challenger,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,1596.672,111.9,8-cyl,Automatic,V-shaped,Medium,18.47258623135821,-2.9725862313582083,-0.9931363353191284,FALSE,0.03433832308222705,0.01753645613977928
AMC Javelin,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,1558.1160000000002,111.9,8-cyl,Automatic,V-shaped,Medium,18.92686631503964,-3.726866315039636,-1.244180148654442,FALSE,0.03284760992950241,0.02628726511474087
Camaro Z28,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,1741.824,182.77,8-cyl,Automatic,V-shaped,Fast,16.762355328086958,-3.4623553280869523,-1.1627909802443033,FALSE,0.044317180680937075,0.031349575066415926
Pontiac Firebird,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,1744.092,130.55,8-cyl,Automatic,V-shaped,Medium,16.735632970223342,2.4643670297766613,0.827719681546352,FALSE,0.04452785331443227,0.015964315252033408
Fiat X1-9,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,877.7160000000001,49.236,4-cyl,Manual,Straight,Slow,26.943573674123652,0.35642632587635137,0.12244407199833397,FALSE,0.08664873388527032,7.11164252962346e-4
Porsche 914-2,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,970.704,67.886,4-cyl,Manual,V-shaped,Medium,25.847957001715503,0.15204299828449944,0.05177186627252734,FALSE,0.07035096081209351,1.0141650832898595e-4
Lotus Europa,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,686.2968,84.298,4-cyl,Manual,Straight,Medium,29.198940677812622,1.2010593221873789,0.4225426999661448,FALSE,0.12911356427501589,0.013234927127130926
Ford Pantera L,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,1437.912,196.944,8-cyl,Manual,V-shaped,Fast,20.34315128181115,-4.543151281811145,-1.5154971045276784,FALSE,0.03132522428169813,0.037136111281139556
Ferrari Dino,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,1256.472,130.55,6-cyl,Manual,V-shaped,Fast,22.48093991090022,-2.7809399109002158,-0.9308692898121989,FALSE,0.0379899259059041,0.017109457387958722
Maserati Bora,15,8,301,335,3.54,3.57,14.6,0,1,5,8,1619.352,249.91,8-cyl,Manual,V-shaped,Fast,18.20536265272208,-3.2053626527220755,-1.0715194349585553,FALSE,0.03544264864205188,0.02109445083253668
Volvo 142E,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,1261.008,81.314,4-cyl,Manual,Straight,Slow,22.427495195172995,-1.0274951951729907,-0.3438821529525085,FALSE,0.037691901204862134,0.0023159180189187677
